genero;nome;endereco;cidade;estado;email
F;Brenda Cardoso;Travessa Professor Antônio Borja 1108;Salvador;BA;BrendaAzevedoCardoso@jourrapide.com
F;Mariana Alves;Rua Raimundo Saboia 460;Fortaleza;CE;MarianaSouzaAlves@superrito.com
F;Vitoria Dias;Rua Joaquim Ferreira Penteado 1141;Itatiba;SP;VitoriaCastroDias@teleworm.us
F;Tânia Santos;Travessa São José da Barra 340;Natal;RN;TaniaGomesSantos@jourrapide.com
F;Brenda Castro;Rua Hernandes de Souza 952;Vila Velha;ES;BrendaBarrosCastro@rhyta.com
F;Julieta Correia;Rua Paulicéia 1566;Santa Bárbara D'Oeste;SP;JulietaPereiraCorreia@einrot.com
F;Livia Sousa;Alameda Barros Terra 483;Niterói;RJ;LiviaPereiraSousa@dayrep.com
F;Isabella Castro;Rua Primeiro de Abril 1674;Belém;PA;IsabellaAlvesCastro@jourrapide.com
F;Vitoria Costa;Rua Senador Dantas 1459;Mogi das Cruzes;SP;VitoriaSousaCosta@einrot.com
M;Carlos Pinto;Avenida Actura 933;Duque de Caxias;RJ;CarlosOliveiraPinto@superrito.com
F;Julia Ribeiro;Quadra QS 306 Bloco 06 1343;Samambaia;DF;JuliaPintoRibeiro@armyspy.com
F;Sofia Lima;Rua Alvarenga 1756;Ipatinga;MG;SofiaCorreiaLima@fleckens.hu
M;Arthur Pinto;Rua Edward Martins 504;Sorocaba;SP;ArthurSilvaPinto@einrot.com
M;Diogo Gomes;Praça Octacílio Rodrigues Siqueira 515;Araras;SP;DiogoPereiraGomes@superrito.com
M;Vinicius Cunha;Avenida Guarujá 495;Guarujá;SP;ViniciusCarvalhoCunha@einrot.com
F;Leila Correia;Rua Laudelina de Campos Mello 940;Campinas;SP;LeilaAlmeidaCorreia@teleworm.us
M;Fábio Correia;Rua Luiz Ramella 287;Marília;SP;FabioCastroCorreia@gustr.com
